Company Name,Industry,Career Page
Steel Authority of India Ltd.,Metals & Mining,
Sumitomo Chemical India Ltd.,Chemicals,
Sun Pharmaceutical Industries Ltd.,Healthcare,
Sun TV Network Ltd.,Media Entertainment & Publication,
Sundaram Finance Ltd.,Financial Services,
Supreme Industries Ltd.,Capital Goods,
Supreme Petrochem Ltd.,Chemicals,
Suzlon Energy Ltd.,Capital Goods,
Swan Corp Ltd.,Chemicals,
Swiggy Ltd.,Consumer Services,
Syngene International Ltd.,Healthcare,
Syrma SGS Technology Ltd.,Capital Goods,
TBO Tek Ltd.,Consumer Services,
TVS Motor Company Ltd.,Automobile and Auto Components,
Tata Capital Ltd.,Financial Services,
Tata Chemicals Ltd.,Chemicals,
Tata Communications Ltd.,Telecommunication,
Tata Consultancy Services Ltd.,Information Technology,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,
Tata Elxsi Ltd.,Information Technology,
Tata Investment Corporation Ltd.,Financial Services,
Tata Motors Ltd.,Capital Goods,
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,
Tata Power Co. Ltd.,Power,
Tata Steel Ltd.,Metals & Mining,
Tata Technologies Ltd.,Information Technology,
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,
Tech Mahindra Ltd.,Information Technology,
Techno Electric & Engineering Company Ltd.,Construction,
Tega Industries Ltd.,Capital Goods,
Tejas Networks Ltd.,Telecommunication,
Tenneco Clean Air India Ltd.,Automobile and Auto Components,
The New India Assurance Company Ltd.,Financial Services,
The Ramco Cements Ltd.,Construction Materials,
Thermax Ltd.,Capital Goods,
Timken India Ltd.,Capital Goods,
Titagarh Rail Systems Ltd.,Capital Goods,
Titan Company Ltd.,Consumer Durables,
Torrent Pharmaceuticals Ltd.,Healthcare,
Torrent Power Ltd.,Power,
Transformers And Rectifiers (India) Ltd.,Capital Goods,
Travel Food Services Ltd.,Consumer Services,
Trent Ltd.,Consumer Services,
Trident Ltd.,Textiles,
Triveni Turbine Ltd.,Capital Goods,
Tube Investments of India Ltd.,Automobile and Auto Components,
UCO Bank,Financial Services,
UNO Minda Ltd.,Automobile and Auto Components,
UPL Ltd.,Chemicals,
UTI Asset Management Company Ltd.,Financial Services,
UltraTech Cement Ltd.,Construction Materials,
Union Bank of India,Financial Services,
United Breweries Ltd.,Fast Moving Consumer Goods,
United Spirits Ltd.,Fast Moving Consumer Goods,
Urban Company Ltd.,Consumer Services,
Usha Martin Ltd.,Capital Goods,
Vardhman Textiles Ltd.,Textiles,
Varun Beverages Ltd.,Fast Moving Consumer Goods,
Vedanta Ltd.,Metals & Mining,
Vijaya Diagnostic Centre Ltd.,Healthcare,
Vishal Mega Mart Ltd.,Consumer Services,
Vodafone Idea Ltd.,Telecommunication,
Voltas Ltd.,Consumer Durables,
Waaree Energies Ltd.,Capital Goods,
Welspun Corp Ltd.,Capital Goods,
Welspun Living Ltd.,Textiles,
Whirlpool of India Ltd.,Consumer Durables,
Wipro Ltd.,Information Technology,
Wockhardt Ltd.,Healthcare,
Yes Bank Ltd.,Financial Services,
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,
Zen Technologies Ltd.,Capital Goods,
Zensar Technolgies Ltd.,Information Technology,
Zydus Lifesciences Ltd.,Healthcare,
Zydus Wellness Ltd.,Fast Moving Consumer Goods,
eClerx Services Ltd.,Services,
